country,colonizer,col,colstart_max,colend_max,colstart_mean,colend_mean,Duration,wiki
Burundi,belgium,1,1923,1962,1922,1962,40,https://it.wikipedia.org/wiki/Burundi
Congo - Kinshasa,belgium,1,1885,1960,1885,1960,75,https://it.wikipedia.org/wiki/Repubblica_Democratica_del_Congo
Rwanda,belgium,1,1922,1962,1919,1962,43,https://it.wikipedia.org/wiki/Ruanda
Antigua & Barbuda,britain,1,1632,1981,1632,1974,342,https://it.wikipedia.org/wiki/Antigua_e_Barbuda
Australia,britain,1,1829,1919,1798,1904,106,https://it.wikipedia.org/wiki/Australia
Bahamas,britain,1,1783,1973,1738,1973,235,https://it.wikipedia.org/wiki/Bahamas
Bahrain,britain,1,1861,1971,1861,1971,110,https://it.wikipedia.org/wiki/Bahrein
Bangladesh,britain,1,1857,1947,1796,1947,151,https://it.wikipedia.org/wiki/Bangladesh
Barbados,britain,1,1627,1966,1627,1966,339,https://it.wikipedia.org/wiki/Barbados
Belize,britain,1,1798,1981,1798,1980,182,https://it.wikipedia.org/wiki/Belize
Bhutan,britain,1,1910,1949,1888,1949,61,https://it.wikipedia.org/wiki/Bhutan
Botswana,britain,1,1895,1966,1887,1966,79,https://it.wikipedia.org/wiki/Botswana
Brunei,britain,1,1888,1984,1888,1984,96,https://it.wikipedia.org/wiki/Brunei
Canada,britain,1,1763,1919,1737,1877,140,https://it.wikipedia.org/wiki/Canada
Cyprus,britain,1,1914,1960,1887,1960,73,https://it.wikipedia.org/wiki/Cipro
Dominica,britain,1,1805,1978,1805,1972,167,https://it.wikipedia.org/wiki/Dominica
Egypt,britain,1,1882,1935,1882,1926,44,https://it.wikipedia.org/wiki/Egitto
Equatorial Guinea,britain,1,1827,1857,1827,1857,30,https://it.wikipedia.org/wiki/Guinea_Equatoriale
Eritrea,britain,1,1941,1951,1941,1951,10,https://it.wikipedia.org/wiki/Eritrea
Eswatini,britain,1,1903,1968,1897,1968,71,https://it.wikipedia.org/wiki/ESwatini
Fiji,britain,1,1874,1970,1872,1970,98,https://it.wikipedia.org/wiki/Figi
Gambia,britain,1,1888,1965,1852,1965,113,https://it.wikipedia.org/wiki/Gambia
Ghana,britain,1,1874,1957,1874,1957,83,https://it.wikipedia.org/wiki/Ghana
Grenada,britain,1,1762,1974,1762,1970,208,https://it.wikipedia.org/wiki/Grenada
Guyana,britain,1,1814,1966,1814,1966,152,https://it.wikipedia.org/wiki/Guyana_francese
India,britain,1,1857,1947,1803,1947,144,https://it.wikipedia.org/wiki/India
Iraq,britain,1,1920,1932,1917,1932,15,https://it.wikipedia.org/wiki/Iraq
Israel,britain,1,1923,1948,1920,1948,28,https://it.wikipedia.org/wiki/Israele
Jamaica,britain,1,1655,1962,1655,1962,307,https://it.wikipedia.org/wiki/Giamaica
Jordan,britain,1,1923,1946,1923,1946,23,https://it.wikipedia.org/wiki/Giordania
Kenya,britain,1,1895,1963,1891,1963,72,https://it.wikipedia.org/wiki/Kenya
Kiribati,britain,1,1892,1979,1892,1979,87,https://it.wikipedia.org/wiki/Kiribati
Kuwait,britain,1,1914,1961,1914,1961,47,https://it.wikipedia.org/wiki/Kuwait
Lesotho,britain,1,1884,1966,1874,1966,92,https://it.wikipedia.org/wiki/Lesotho
Libya,britain,1,1946,1952,1946,1952,6,https://it.wikipedia.org/wiki/Libia
