country,latitudine,longitudine,kilometri quadrati (estensione)
Afghanistan,"33,9304","69,172",652867
Albania,41,"20,15",28748
Algeria,28,2,2381741
Andorra,"42,3","1,3","467,6"
Angola,-11,"11,44",1246700
Antigua & Barbuda,"17,05","-61,48",440
Argentina,-40,-60,2780400
Armenia,"40,14","44,5",29743
Australia,"-23,5",145,7629000
Austria,"47,5",14,83871
Azerbaijan,"40,5",47,86600
Bahamas,25,"-77,371",13880
Bahrain,"26,033","50,33","768,8"
Bangladesh,"23,7098",90,147570
Barbados,"13,18","59,5",430
Belarus,"53,7",28,207600
Belgium,"50,47",4,30688
Belize,"17,15","-88,7",22966
Benin,"9,5",2,114763
Bhutan,"27,5142",90,38394
Bolivia,"-16,2902",68,1098580
Bosnia & Herzegovina,"44,18","18,4",51209
Botswana,44,24,581730
Brazil,-14,-55,8514877
Brunei,"4,3","114,7",5765
Bulgaria,43,"25,3",110994
Burkina Faso,"12,25",0,274223
Burundi,"-3,5","29,3",27830
Cambodia,"12,5",105,181035
Cameroon,6,12,475440
Canada,60,-95,9984670
Cape Verde,15,-24,4033
Central African Republic,7,21,622984
Chad,15,19,1284000
Chile,-30,-71,756102
China,35,105,9596960
Colombia,4,-73,1141748
Comoros,"-12,1667","44,1667",2235
Congo - Brazzaville,1,15,342000
Congo - Kinshasa,0,25,2344858
Costa Rica,10,-84,51100
Côte d’Ivoire,8,-5,322463
Croatia,"45,1667","15,5",56594
Cuba,"21,5",-80,110860
Cyprus,35,33,9251
Czechia,"49,75","15,5",78866
Denmark,56,10,43094
Djibouti,"11,5",43,23200
Dominica,"15,4167","-61,3333",751
Dominican Republic,19,"-70,6667",48671
Ecuador,-2,"-77,5",283561
Egypt,27,-30,1001450
El Salvador,"13,8333",30,21041
Equatorial Guinea,1,10,28051
Eritrea,15,39,117600
Estonia,59,26,45227
Eswatini,"-26,5","31,5",17364
Ethiopia,"9,145","40,49",1104300
Fiji,-18,175,18270
Finland,64,26,338363
France,"46,2276","2,2137",638474
Gabon,-1,"11,75",267667
